presence_handle,published_at,report_generated_at,captured_at,caption,image,post_link,total_spend,post_type,reach_organic,reach_paid,engagement_total,engagement_total_organic,engagement_total_paid,engagement_rate_by_reach_organic,engagement_rate_by_reach_paid,engagement_rate_by_impression,engagement_rate_by_impression_organic,engagement_rate_by_impression_paid,post_reach_rate_by_follower_organic,post_reach_rate_by_follower_paid,likes,likes_organic,likes_paid,comments,comments_organic,comments_paid,saves,saves_organic,saves_paid,shares,shares_organic,shares_paid,impressions,impressions_organic,impressions_paid,followers,video_views,video_views_organic,video_views_paid,video_view_rate_by_impression,video_view_rate_by_impression_organic,video_view_rate_by_impression_paid,video_views_per_user_organic,video_views_per_user_paid,carousel_photoper_video_posts,carousel_photo_posts,carousel_video_posts,clicks_paid,follows_organic,profile_views_organic,profile_interactions_organic,profile_bio_link_clicks_organic,profile_other_interactions_organic,social_engagement_total,social_engagement_total_organic,social_engagement_total_paid,social_engagement_rate_by_reach_organic,social_engagement_rate_by_reach_paid,social_engagement_rate_by_impression,social_engagement_rate_by_impression_organic,social_engagement_rate_by_impression_paid,engagement_rate_by_follower,post_tag_ugc,post_tag_contests
@bmw_indonesia,2024-04-04 19:16:01,2024-05-02 10:09:42,2024-05-02 09:45:04,"Time to take the lead with The First Fully-Electric i5, your finest iconic business sedan. Encounter its electrifying power, sporty elegance, and cutting-edge features to capture your #EverlastingJOY on the road. Get in touch with your preferred authorized BMW dealer or visit bmw.co.id, to explore more about THE i5. #THEi5 #AllElectricBusinessSedan",https://d1cdkkfhgor70g.cloudfront.net/C5VtW_US5ee?postNativeId=18387008710076894,https://www.instagram.com/p/C5VtW_US5ee,0,Reel,10930,0,641,641,0,0.058645928636779504,0,0.05904568901989683,0.05904568901989683,0,0.032702129378360346,0,554,554,0,8,8,0,35,35,0,44,44,0,10856,10856,0,334229,10856,10856,0,1,1,0,0.9932296431838975,0,,,,0,,,,,,562,562,0,0.05141811527904849,0,0.05176860722181282,0.05176860722181282,0,0.0019178467457940515,0,0
@bmw_indonesia,2024-04-05 19:28:23,2024-05-02 10:09:42,2024-05-02 09:45:04,"Turn your journey home into a joyful ride with THE X3, as enjoyed by Den Dimas (@buburayamracer) and Aurelia (@couplewanders). Featuring a spacious and comfortable interior, along with generous room for your @samsonite_indonesia luggage, THE X3 is tailored to meet all your mudik trip essentials. Experience not only comfort inside the car but also peace of mind with our BMW Service. #WhateverHappens on the road—Relax. We Care.  Reach out to your preferred BMW Authorized Dealer today for further details on THE X3 and BMW Service. Get the most out of installment plans starting from Rp19 mio and save up to Rp50 mio* on the BMW X3 xDrive30i M Sport. *TnC Apply.",https://d1cdkkfhgor70g.cloudfront.net/C5YTpXSyDH9?postNativeId=18019605575319235,https://www.instagram.com/p/C5YTpXSyDH9,0,Carousel,10625,0,824,824,0,0.07755294117647059,0,0.06577266922094509,0.06577266922094509,0,0.031785301878100004,0,754,754,0,4,4,0,29,29,0,,,0,12528,12528,0,334274,,,0,,,0,,0,5,5,0,0,,,,,,758,758,0,0.07134117647058824,0,0.06050446998722861,0.06050446998722861,0,0.0024650436468286498,0,0
@bmw_indonesia,2024-04-07 18:00:21,2024-05-02 10:09:42,2024-04-08 15:39:33,"Go the distance in your BMW i Series this upcoming Eid Al Fitr. Swipe left to enjoy more electrifying drives between charge stops on your mudik travels. Learn more at the link in our bio. #EverlastingJOY",https://d1cdkkfhgor70g.cloudfront.net/C5dTKbDieI1?postNativeId=18013566944262551,https://www.instagram.com/p/C5dTKbDieI1,0,Carousel,2863,0,160,160,0,0.055885434858539994,0,0.04596380350474002,0.04596380350474002,0,0.008563728437381287,0,149,149,0,1,1,0,3,3,0,,,0,3481,3481,0,334317,,,0,,,0,,0,4,4,0,0,,,,,,150,150,0,0.05239259517988124,0,0.043091065785693765,0.043091065785693765,0,0.00047858768773349845,0,0
@bmw_indonesia,2024-04-08 19:49:43,2024-05-02 10:09:42,2024-05-02 09:45:04,"Have a joyful journey back home with all your essentials packed, while you relish in the comfortable SensaTec upholstery and spaciousness of THE X3. With BMW Service by your side, secure peace of mind on the road. #WhateverHappens, Relax. We Care. Contact your preferred Authorized BMW Dealer or visit bmw.co.id now for more details on THE X3 and BMW Service. Take advantage of installment plans starting from Rp19 million, and save up to Rp50 million* on the BMW X3 xDrive30i M Sport. *TnC Apply.",https://d1cdkkfhgor70g.cloudfront.net/C5gEIdwymxA?postNativeId=18023716301097111,https://www.instagram.com/p/C5gEIdwymxA,0,Reel,250812,0,9865,9865,0,0.03933224885571663,0,0.03987147360763075,0.03987147360763075,0,0.7501480484522207,0,8165,8165,0,34,34,0,725,725,0,941,941,0,247420,247420,0,334350,247420,247420,0,1,1,0,0.9864759261917293,0,,,,0,,,,,,8199,8199,0,0.03268982345342328,0,0.03313798399482661,0.03313798399482661,0,0.029505009720352922,0,0
@bmw_indonesia,2024-04-09 20:00:46,2024-05-02 10:09:42,2024-05-02 09:45:04,"This Ramadan is coming to an end. Let's celebrate the victory with loved ones to bring more gratitude, prosperity, and #EverlastingJOY. Eid Mubarak from BMW Indonesia.",https://d1cdkkfhgor70g.cloudfront.net/C5iqhL9p8Tj?postNativeId=17986877315642014,https://www.instagram.com/p/C5iqhL9p8Tj,0,Reel,6795,0,353,353,0,0.051949963208241356,0,0.05060931899641577,0.05060931899641577,0,0.020318943115930112,0,320,320,0,5,5,0,7,7,0,21,21,0,6975,6975,0,334417,6975,6975,0,1,1,0,1.0264900662251655,0,,,,0,,,,,,325,325,0,0.047829286239882265,0,0.04659498207885305,0.04659498207885305,0,0.0010555683473029182,0,0
@bmw_indonesia,2024-04-09 16:44:27,2024-05-02 10:09:42,2024-05-02 09:45:04,"Drive JOY home this blessed Lebaran with BMW’s exclusive offers. Get free IDR 10 Mio gasoline or BMW accesories and lifestyle voucher, and savings up to IDR 50 Mio and low monthly installments.* 218i Gran Coupé Sport  → Start from IDR 11 Mio / month 320i M Sport  → Start from IDR 14 Mio / month 330i M Sport Pro  → Start from IDR 15 Mio / month X3 sDrive20i xLine  → Start from IDR 17 Mio / month X3 xDrive30i M Sport  → Start from IDR 19 Mio / month Enjoy this exclusive offer limited only until end of April 2024, contact your preferred authorized BMW dealer or visit bmw.co.id  *TnC Apply.",https://d1cdkkfhgor70g.cloudfront.net/C5iTv9pS1j5?postNativeId=18040795387775084,https://www.instagram.com/p/C5iTv9pS1j5,0,Reel,5687,0,225,225,0,0.03956391770705117,0,0.040775643349039506,0.040775643349039506,0,0.017005714422412735,0,214,214,0,0,0,0,6,6,0,5,5,0,5518,5518,0,334417,5518,5518,0,1,1,0,0.9702831018111482,0,,,,0,,,,,,214,214,0,0.037629681730262,0,0.03878216745197535,0.03878216745197535,0,0.0006728126859579507,0,0
@bmw_indonesia,2024-04-17 19:14:53,2024-05-02 10:09:42,2024-05-02 09:45:04,"The sustainable future comes with The All-Electric i5. With the first BMW luxurious vegan interior, navigate the city in style, while making a difference. This includes the seats, the door panels, and even the steering wheel which are fitted with the high-quality leather alternative Veganza. Get in touch with your preferred authorized BMW dealer or visit bmw.co.id, to learn more about THE i5. #THEi5 #AllElectricBusinessSedan #EverlastingJOY",https://d1cdkkfhgor70g.cloudfront.net/C53Lo9jy2pv?postNativeId=18031297033794874,https://www.instagram.com/p/C53Lo9jy2pv,0,Carousel,7671,0,400,400,0,0.052144440099074436,0,0.041237113402061855,0.041237113402061855,0,0.022860088865578148,0,353,353,0,5,5,0,18,18,0,,,0,9700,9700,0,335563,,,0,,,0,,0,4,4,0,0,,,,,,358,358,0,0.04666927388867162,0,0.03690721649484536,0.03690721649484536,0,0.0011920265345106583,0,0
@bmw_indonesia,2024-04-19 19:00:30,2024-05-02 10:09:42,2024-05-02 09:45:04,"Dominate the road with THE NEW X5. Feel the dynamic luxury of every mile, empowered by cutting-edge tech. From the commanding road view to its elegant interiors, it's your pathway to excellence. Visit your preferred authorized BMW dealer to test drive or visit bmw.co.id to #BeTheBoss.  #TheNewX5",https://d1cdkkfhgor70g.cloudfront.net/C58TlXnBrJv?postNativeId=18031502542804970,https://www.instagram.com/p/C58TlXnBrJv,0,Carousel,7830,0,364,364,0,0.04648786717752235,0,0.03947083062242464,0.03947083062242464,0,0.02332543902765986,0,330,330,0,3,3,0,15,15,0,,,0,9222,9222,0,335685,,,0,,,0,,0,4,4,0,0,,,,,,333,333,0,0.04252873563218391,0,0.03610930383864672,0.03610930383864672,0,0.0010843499113752477,0,0
@bmw_indonesia,2024-04-21 08:02:12,2024-05-02 10:09:42,2024-05-02 09:45:04,"Happy Kartini’s Day to all Indonesian women. Let's embrace Kartini's legacy to pursue our dreams with passion and FREUDE. #THEi5 #AllElectricBusinessSedan",https://d1cdkkfhgor70g.cloudfront.net/C6ARwYBiv2T?postNativeId=18028414295003265,https://www.instagram.com/p/C6ARwYBiv2T,0,Reel,5236,0,250,250,0,0.04774637127578304,0,0.04733951903048665,0.04733951903048665,0,0.015592521783670139,0,218,218,0,5,5,0,7,7,0,20,20,0,5281,5281,0,335802,5281,5281,0,1,1,0,1.008594346829641,0,,,,0,,,,,,223,223,0,0.04258976317799847,0,0.042226850975194095,0.042226850975194095,0,0.0007444863342088492,0,0
@bmw_indonesia,2024-04-22 19:53:35,2024-05-02 10:09:42,2024-05-02 09:45:04,"Nurturing sustainability from the inside out, the BMW Vision Neue Klasse X pioneers with recycled materials, reduced emissions, and a commitment to a greener future, all harmonizing to the symphony of FREUDE.",https://d1cdkkfhgor70g.cloudfront.net/C6EHzZ1SO_j?postNativeId=17853108177173396,https://www.instagram.com/p/C6EHzZ1SO_j,0,Reel,3714,0,141,141,0,0.03796445880452343,0,0.03547169811320755,0.03547169811320755,0,0.011058343630435754,0,129,129,0,2,2,0,4,4,0,6,6,0,3975,3975,0,335855,3975,3975,0,1,1,0,1.0702746365105007,0,,,,0,,,,,,131,131,0,0.03527194399569197,0,0.03295597484276729,0.03295597484276729,0,0.00041982403120394216,0,0
